step NLLLoss_output_0 Net_output_0 conv1_output_0 conv2_output_0 fc1_output_0 fc2_output_0 max_pool2_output_0 max_pool_output_0 relu_output_0 sigmoid_output_0 tanh_output_0
0 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero"
100 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero"
200 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero"
300 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
400 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
500 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
600 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
700 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
800 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
900 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1000 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1100 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1200 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1300 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1400 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1500 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1600 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1700 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1800 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
1900 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2000 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2100 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2200 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2300 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2400 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2500 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2600 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2700 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
2800 "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "Not all values zero" "All values zero" "Not all values zero" "Not all values zero"
